card_number,valid_from,expiry,security_code,x-coordinate,y-coordinate,mean_amount,std_amount,mean_nb_tx_per_day,cust_id,card_type_id
4291486528168504,2019-02-01,2029-02-01,423,2.535074341545751,96.26484146779252,84.42,42.21,2.78,37,2
2570348247710931,2015-08-01,2025-08-01,480,25.79416277151556,65.99840460341791,82.64,41.32,2.22,15,10
2269353487401643,2013-09-01,2023-09-01,52,7.455064367977082,98.68869366005173,78.36,39.18,0.79,67,8
2719737631165664,2020-11-01,2030-11-01,10,12.203823484477883,49.51769101112702,8.27,4.13,3.64,46,8
2713618324210247,2022-08-01,2032-08-01,471,4.077514155476392,59.08929431882418,69.37,34.69,0.07,91,3
5531665876036697,2013-04-01,2023-04-01,967,92.96976523425732,80.8120379564417,65.17,32.59,3.49,21,10
2499552717744902,2018-11-01,2028-11-01,814,76.99935530986109,21.58210274968432,64.17,32.09,0.34,87,10
2426284987769454,2017-02-01,2027-02-01,147,51.87906217433661,70.30189588951778,39.54,19.77,3.89,41,3
4641395376724234,2022-06-01,2032-06-01,849,30.42422429595377,52.475643163223786,46.03,23.02,1.16,78,8
2234309805009783,2021-12-01,2031-12-01,208,93.9498941564189,89.48273504276489,61.8,30.9,3.69,72,6
2685160607159696,2019-10-01,2029-10-01,641,57.8280140996174,3.594227379674209,49.23,24.61,2.17,44,9
4817549651370984,2018-07-01,2028-07-01,931,89.20465551771133,63.11386259972629,80.51,40.26,2.01,54,7
4232812067974030,2017-10-01,2027-10-01,471,9.02897700544083,83.5302495589238,35.47,17.73,0.75,79,2
4051531952058521,2020-10-01,2030-10-01,722,39.85047343973734,61.585009805221645,65.33,32.66,0.18,92,3
4435240824008428,2021-04-01,2031-04-01,109,14.48948720912231,48.9452760277563,98.64,49.32,0.97,87,5
2288842474517129,2016-10-01,2026-10-01,685,26.520236768172545,24.39896433790836,97.44,48.72,1.57,14,9
4706537947383477,2016-03-01,2026-03-01,597,54.92266647061205,71.45959227000624,67.72,33.86,1.12,77,7
2234060883561597,2018-04-01,2028-04-01,148,88.72127425763266,47.22149251619493,16.36,8.18,2.85,84,4
4623869222196930,2021-05-01,2031-05-01,923,0.5061583846218687,16.080805141749867,57.13,28.57,2.77,69,6
4886239240758180,2015-01-01,2025-01-01,412,95.4865280663194,73.78969166957685,57.66,28.83,2.45,16,6
2277773872148956,2014-07-01,2024-07-01,343,52.27328293819941,42.75410183585496,7.41,3.71,0.43,72,10
4544796275705968,2017-08-01,2027-08-01,16,2.6511310541621813,58.57755812734633,94.32,47.16,2.3,99,5
5118366752545999,2014-05-01,2024-05-01,22,86.70723185801037,91.32405525564712,53.58,26.79,2.01,35,8
4346247510799119,2022-01-01,2032-01-01,384,38.8677289689482,27.134903177389592,83.73,41.87,1.43,43,8
2580913431611720,2018-01-01,2028-01-01,5,60.642905965959,0.9197051616629648,14.64,7.32,2.65,57,3
2720051518644925,2018-08-01,2028-08-01,192,79.51861947687037,27.083225126207424,46.7,23.35,0.31,39,8
2253487347143454,2018-05-01,2028-05-01,812,22.879816549162246,7.697990982879299,32.53,16.27,0.64,90,6
2299003432445104,2021-05-01,2031-05-01,622,89.00053418175663,33.79951568515358,40.68,20.34,0.38,64,3
4278248963834652,2020-05-01,2030-05-01,871,6.505159298527952,94.88855372533332,96.74,48.37,3.23,64,10
2284119986798073,2022-08-01,2032-08-01,359,5.16817211686077,53.1354631568148,56.36,28.18,2.55,80,7
5585654310278680,2014-12-01,2024-12-01,447,94.14648087765252,38.61026378007743,96.31,48.16,3.62,10,5
2413900532931837,2022-11-01,2032-11-01,335,94.04585843529144,95.39285770025872,91.91,45.95,1.48,56,1
4333872624731784,2014-08-01,2024-08-01,80,25.87799816000169,66.2522284353982,34.61,17.3,2.08,28,9
5346584044997273,2022-01-01,2032-01-01,755,90.04180571633304,63.31014572732679,37.21,18.61,1.4,39,9
2486801128059821,2020-03-01,2030-03-01,204,0.5522117123602399,81.54614284548342,72.15,36.08,2.92,62,7
4612004711382675,2019-03-01,2029-03-01,869,57.69038846263591,49.25176938188639,23.55,11.78,2.89,98,8
2242677360260649,2020-08-01,2030-08-01,468,54.67102793432797,18.485445552552704,97.11,48.55,3.1,7,3
2249621851888883,2013-04-01,2023-04-01,670,49.16158751168324,47.34717707805657,21.45,10.72,1.74,4,8
4566765277584161,2014-04-01,2024-04-01,692,65.8693631618945,16.29344270814297,11.7,5.85,2.57,70,5
4220472779010435,2015-06-01,2025-06-01,898,1.4393488629755868,11.607264050691624,9.37,4.68,0.16,51,7
4422842102053953,2013-03-01,2023-03-01,240,1.5456616528867428,92.83185625877252,45.68,22.84,3.87,69,1
5335427849808415,2015-03-01,2025-03-01,411,28.093450968738075,54.26960831582485,18.39,9.2,3.21,56,5
2296889373467062,2018-08-01,2028-08-01,627,80.36720768991145,18.657005888603585,89.79,44.9,2.16,35,3
